scenario,ranking,sale_price,financing,income,entry,installments,base_date,delivery_date,final_value_looker,final_value_site,nominal_pro_looker,nominal_pro_site,pro_pct_looker,pro_pct_site,nominal_monthly_looker,nominal_monthly_site,corrected_monthly_looker,corrected_monthly_site,income_pct_looker,income_pct_site,first_monthly_looker,first_monthly_site,annual_dates_looker,annual_dates_site,status_looker,status_looker_evidence,status_site,difference,motive
diamante-below,DIAMANTE,26786600,20124932,33654033,1000,1,2026-08-18,2028-12-15,26786600.00,26786600.00,6660668.00,6660668.00,24.99,24.99,6660668.00,6660668.00,6727441.20,6727441.20,19.99,19.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,APROVADO,calculated-field,APROVADO,nenhuma,dentro-dos-limites
diamante-pro-exact,DIAMANTE,803598,602698,1010025,1000,1,2026-08-18,2028-12-15,803598.00,803598.00,199900.00,199900.00,25.00,25.00,199900.00,199900.00,201904.00,201904.00,19.99,19.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
diamante-pro-above,DIAMANTE,80359800,60360804,101042901,1000,1,2026-08-18,2028-12-15,80359800.00,80359800.00,19997996.00,19997996.00,25.01,25.01,19997996.00,19997996.00,20198475.91,20198475.91,19.99,19.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,REPROVADO,nenhuma,pro-soluto-acima
diamante-income-exact,DIAMANTE,26800000,20135000,33654033,1000,1,2026-08-18,2028-12-15,26800000.00,26800000.00,6664000.00,6664000.00,24.99,24.99,6664000.00,6664000.00,6730806.60,6730806.60,20.00,20.00,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
diamante-income-above,DIAMANTE,8937800,6714356,11218011,1000,1,2026-08-18,2028-12-15,8937800.00,8937800.00,2222444.00,2222444.00,24.99,24.99,2222444.00,2222444.00,2244724.00,2244724.00,20.01,20.01,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,REPROVADO,nenhuma,renda-acima
diamante-both-above,DIAMANTE,26813400,20139732,33680967,1000,1,2026-08-18,2028-12-15,26813400.00,26813400.00,6672668.00,6672668.00,25.01,25.01,6672668.00,6672668.00,6739561.50,6739561.50,20.01,20.01,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,REPROVADO,nenhuma,pro-soluto-acima|renda-acima
ouro-below,OURO,40200,31204,40401,1000,1,2026-08-18,2028-12-15,40200.00,40200.00,7996.00,7996.00,19.99,19.99,7996.00,7996.00,8076.16,8076.16,19.99,19.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,APROVADO,calculated-field,APROVADO,nenhuma,dentro-dos-limites
ouro-pro-exact,OURO,401799,320839,404010,1000,1,2026-08-18,2028-12-15,401799.00,401799.00,79960.00,79960.00,20.00,20.00,79960.00,79960.00,80761.60,80761.60,19.99,19.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
ouro-pro-above,OURO,26786600,21452268,26947467,1000,1,2026-08-18,2028-12-15,26786600.00,26786600.00,5333332.00,5333332.00,20.01,20.01,5333332.00,5333332.00,5386798.65,5386798.65,19.99,19.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,REPROVADO,nenhuma,pro-soluto-acima
ouro-income-exact,OURO,80400000,64407000,80761599,1000,1,2026-08-18,2028-12-15,80400000.00,80400000.00,15992000.00,15992000.00,19.99,19.99,15992000.00,15992000.00,16152319.80,16152319.80,20.00,20.00,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
ouro-income-above,OURO,26813400,21479068,26920533,1000,1,2026-08-18,2028-12-15,26813400.00,26813400.00,5333332.00,5333332.00,19.99,19.99,5333332.00,5333332.00,5386798.65,5386798.65,20.01,20.01,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,rendered,REPROVADO,nenhuma,renda-acima
ouro-both-above,OURO,13400,9732,13467,1000,1,2026-08-18,2028-12-15,13400.00,13400.00,2668.00,2668.00,20.01,20.01,2668.00,2668.00,2694.75,2694.75,20.01,20.01,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,REPROVADO,nenhuma,pro-soluto-acima|renda-acima
prata-below,PRATA,40200,32004,40401,1000,1,2026-08-18,2028-12-15,40200.00,40200.00,7196.00,7196.00,17.99,17.99,7196.00,7196.00,7268.14,7268.14,17.99,17.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,APROVADO,calculated-field,APROVADO,nenhuma,dentro-dos-limites
prata-pro-exact,PRATA,120533,97945,121203,1000,1,2026-08-18,2028-12-15,120533.00,120533.00,21588.00,21588.00,18.00,18.00,21588.00,21588.00,21804.42,21804.42,17.99,17.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
prata-pro-above,PRATA,72319800,59358804,72762201,1000,1,2026-08-18,2028-12-15,72319800.00,72319800.00,12959996.00,12959996.00,18.01,18.01,12959996.00,12959996.00,13089919.96,13089919.96,17.99,17.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,rendered,REPROVADO,nenhuma,pro-soluto-acima
prata-income-exact,PRATA,8040000,6599800,8075711,1000,1,2026-08-18,2028-12-15,8040000.00,8040000.00,1439200.00,1439200.00,17.99,17.99,1439200.00,1439200.00,1453627.98,1453627.98,18.00,18.00,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,rendered,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
prata-income-above,PRATA,72400200,59439204,72681399,1000,1,2026-08-18,2028-12-15,72400200.00,72400200.00,12959996.00,12959996.00,17.99,17.99,12959996.00,12959996.00,13089919.96,13089919.96,18.01,18.01,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,rendered,REPROVADO,nenhuma,renda-acima
prata-both-above,PRATA,40200,31996,40401,1000,1,2026-08-18,2028-12-15,40200.00,40200.00,7204.00,7204.00,18.01,18.01,7204.00,7204.00,7276.22,7276.22,18.01,18.01,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,REPROVADO,nenhuma,pro-soluto-acima|renda-acima
bronze-below,BRONZE,40200,33204,40401,1000,1,2026-08-18,2028-12-15,40200.00,40200.00,5996.00,5996.00,14.99,14.99,5996.00,5996.00,6056.11,6056.11,14.99,14.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,APROVADO,rendered,APROVADO,nenhuma,dentro-dos-limites
bronze-pro-exact,BRONZE,200866,169886,202005,1000,1,2026-08-18,2028-12-15,200866.00,200866.00,29980.00,29980.00,15.00,15.00,29980.00,29980.00,30280.55,30280.55,14.99,14.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,rendered,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
bronze-pro-above,BRONZE,60259800,51258804,60641901,1000,1,2026-08-18,2028-12-15,60259800.00,60259800.00,8999996.00,8999996.00,15.01,15.01,8999996.00,8999996.00,9090220.96,9090220.96,14.99,14.99,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,calculated-field,REPROVADO,nenhuma,pro-soluto-acima
bronze-income-exact,BRONZE,20100000,17101000,20187033,1000,1,2026-08-18,2028-12-15,20100000.00,20100000.00,2998000.00,2998000.00,14.99,14.99,2998000.00,2998000.00,3028054.95,3028054.95,15.00,15.00,2026-09-15,2026-09-15,2026-12-15|2027-12-15|2028-12-15,2026-12-15|2027-12-15|2028-12-15,REPROVADO,rendered,APROVADO,limite-exato-inclusivo-por-regra-explicita,Looker-usa-menor-estrito
